,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,ENFORCEMENT_DATE,ENFORCEMENT_CATEGORY,DESCRIPTION,AGENCY
0,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2011,04/18/2011,Informal,St Public Notif received,State
1,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2011,04/14/2011,Informal,St Public Notif requested,State
2,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2012,10/05/2011,Informal,St Public Notif requested,State
3,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2012,11/29/2011,Informal,St Public Notif requested,State
4,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2012,06/11/2012,Formal,St AO (w/o penalty) issued,State
5,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2012,10/31/2011,Informal,St Public Notif requested,State
6,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2011,08/19/2011,Informal,St Violation/Reminder Notice,State
7,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2011,08/16/2011,Informal,St Public Notif requested,State
8,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2011,09/01/2011,Informal,St Public Notif requested,State
9,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2020,11/12/2019,Informal,St Violation/Reminder Notice,State
10,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2016,10/13/2015,Informal,St Public Notif requested,State
11,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2016,11/10/2015,Informal,St Public Notif received,State
