,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,FISCAL_YEAR,STATE,STATE_NAME,EPA_REGION,PWS_TYPE_CODE,PWS_NAME,CITY_SERVED,STATE_CODE,SOURCE_WATER,IS_TRIBAL,SYSTEM_SIZE,POPULATION_SERVED_COUNT
0,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2018,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
1,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2020,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
2,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2017,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
3,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2014,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
4,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2013,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
5,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2012,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
6,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2011,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
7,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2019,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
8,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2015,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
9,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,2016,FL,Florida,4,CWS,"MCINTOSH, TOWN OF",MCINTOSH,FL,GW,N,Very Small,484
10,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,2014,FL,Florida,4,CWS,CAMP TRACEY,GLEN ST. MARY,FL,GW,N,Very Small,30
11,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,2013,FL,Florida,4,CWS,CAMP TRACEY,GLEN ST. MARY,FL,GW,N,Very Small,30
12,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,2012,FL,Florida,4,CWS,CAMP TRACEY,GLEN ST. MARY,FL,GW,N,Very Small,30
13,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,2011,FL,Florida,4,CWS,CAMP TRACEY,GLEN ST. MARY,FL,GW,N,Very Small,30
14,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,2016,FL,Florida,4,NTNCWS,BEREAN BAPTIST COLLEGE,GLEN ST. MARY,FL,GW,N,Very Small,30
15,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,2017,FL,Florida,4,NTNCWS,BEREAN BAPTIST COLLEGE,GLEN ST. MARY,FL,GW,N,Very Small,30
16,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2016,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
17,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2018,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
18,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2020,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
19,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2017,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
20,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2015,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
21,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2019,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
22,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2014,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
23,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2013,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
24,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,2012,FL,Florida,4,CWS,SUNNY PINES,JACKSONVILLE,FL,GW,N,Very Small,80
