,FAC_NAME,FAC_LAT,FAC_LONG,DFR_URL,PWSID,PWS_NAME,CITY_SERVED,STATE,STATE_NAME,PWS_TYPE_CODE,PWS_TYPE_SHORT,SOURCE_WATER,PWS_SIZE,POPULATION_SERVED_COUNT,FISCAL_YEAR,SITE_VISIT_DATE,SANITARY_SURVEY
0,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2012,09/27/2012,Y
1,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2011,07/29/2011,N
2,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2011,05/03/2011,N
3,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2015,01/07/2015,Y
4,"MCINTOSH, TOWN OF",29.4488,-82.22211999999998,http://echo.epa.gov/detailed-facility-report?fid=110013197352,FL3421379,"MCINTOSH, TOWN OF",MCINTOSH,FL,Florida,CWS,Community,GW,Very Small,484,2017,02/02/2017,Y
5,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,CAMP TRACEY,GLEN ST. MARY,FL,Florida,CWS,Community,GW,Very Small,30,2011,02/16/2011,Y
6,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,BEREAN BAPTIST COLLEGE,GLEN ST. MARY,FL,Florida,NTNCWS,Non-Community,GW,Very Small,30,2016,01/22/2016,N
7,CAMP TRACEY,30.33042,-81.58752,http://echo.epa.gov/detailed-facility-report?fid=110013193515,FL2024897,BEREAN BAPTIST COLLEGE,GLEN ST. MARY,FL,Florida,NTNCWS,Non-Community,GW,Very Small,30,2016,11/16/2015,Y
8,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2012,06/13/2012,Y
9,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2011,08/19/2011,N
10,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2011,06/22/2011,N
11,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,01/28/2015,N
12,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2015,10/30/2014,Y
13,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2018,12/12/2017,Y
14,BRIARWOOD ESTATES MHP,30.403540000000003,-81.74271999999998,http://echo.epa.gov/detailed-facility-report?fid=110013194319,FL2160110,SUNNY PINES,JACKSONVILLE,FL,Florida,CWS,Community,GW,Very Small,80,2018,01/02/2018,N
15,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2013,05/29/2013,Y
16,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2013,08/22/2013,N
17,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2013,07/19/2013,N
18,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2016,08/11/2016,N
19,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2016,03/16/2016,Y
20,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2019,08/06/2019,N
21,JACKSONVILLE UNIVERSITY,30.35342,-81.604505,http://echo.epa.gov/detailed-facility-report?fid=110020959177,FL2160568,JACKSONVILLE UNIVERSITY,JACKSONVILLE,FL,Florida,CWS,Community,GW,Medium,3480,2019,06/10/2019,Y
